truncate between -1000 to 300, image[<-1000]=0, image[>300]=0
start time: 2018-08-16 18:44:32
cubic shape: (10, 20, 20)
Training examples: 3808, high 1812, low 1812
Testing examples: 424, high 204, low 204
epoch: 100
batch size: 32
accuracy  is 0.632075, loss is 0.655885, epoch 0 time, consumed 75.79 seconds
accuracy  is 0.726415, loss is 0.604054, epoch 1 time, consumed 73.48 seconds
accuracy  is 0.738208, loss is 0.528902, epoch 2 time, consumed 72.11 seconds
accuracy  is 0.780660, loss is 0.466705, epoch 3 time, consumed 74.06 seconds
accuracy  is 0.794811, loss is 0.442026, epoch 4 time, consumed 73.69 seconds
accuracy  is 0.818396, loss is 0.424209, epoch 5 time, consumed 71.77 seconds
accuracy  is 0.827830, loss is 0.386959, epoch 6 time, consumed 73.23 seconds
accuracy  is 0.837264, loss is 0.384550, epoch 7 time, consumed 72.91 seconds
accuracy  is 0.830189, loss is 0.355527, epoch 8 time, consumed 72.69 seconds
accuracy  is 0.853774, loss is 0.365400, epoch 9 time, consumed 73.65 seconds
accuracy  is 0.851415, loss is 0.371125, epoch 10 time, consumed 67.66 seconds
accuracy  is 0.827830, loss is 0.367939, epoch 11 time, consumed 71.20 seconds
accuracy  is 0.837264, loss is 0.389949, epoch 12 time, consumed 70.78 seconds
accuracy  is 0.827830, loss is 0.409431, epoch 13 time, consumed 71.68 seconds
accuracy  is 0.825472, loss is 0.396421, epoch 14 time, consumed 71.15 seconds
accuracy  is 0.851415, loss is 0.398661, epoch 15 time, consumed 71.20 seconds
accuracy  is 0.841981, loss is 0.401368, epoch 16 time, consumed 71.94 seconds
accuracy  is 0.825472, loss is 0.468574, epoch 17 time, consumed 68.82 seconds
accuracy  is 0.823113, loss is 0.429344, epoch 18 time, consumed 102.29 seconds
accuracy  is 0.839623, loss is 0.392572, epoch 19 time, consumed 100.27 seconds
accuracy  is 0.841981, loss is 0.504850, epoch 20 time, consumed 99.04 seconds
accuracy  is 0.851415, loss is 0.481352, epoch 21 time, consumed 97.81 seconds
accuracy  is 0.837264, loss is 0.506933, epoch 22 time, consumed 104.57 seconds
